"opcode","longitude","latitude","date","time","site","location","status","depth","observer","successful.count","broad.bryozoa","broad.consolidated","broad.hydroids","broad.invertebrate.complex","broad.macroalgae","broad.octocoral.black","broad.sponges","broad.unconsolidated","total.points.annotated","mean.relief","sd.relief"
"npz6.24",113.4414,-28.0787,20210512,09:07:00,"npz6.27","NPZ6","No-take",53.7,"Molly","Y",0,1,0,0,9,0,5,0,15,3,0
"npz6.14",113.4213,-28.0937,20210512,08:56:00,"npz6.14","NPZ6","No-take",42.1,"Molly","Y",0,0,0,0,16,0,0,0,16,2.75,0.447213595499958
"npz6.6",113.4439,-28.0837,20210512,09:04:00,"npz6.6","NPZ6","No-take",55.1,"Molly","Y",0,0,0,0,12,0,0,0,12,3,0
"npz6.2",113.4339,-28.0612,20210512,09:26:00,"npz6.2","NPZ6","No-take",43.6,"Molly","Y",0,11,0,0,1,0,0,0,12,1,0
"npz6.18",113.4438,-28.0962,20210512,08:48:00,"npz6.19","NPZ6","No-take",42.7,"Molly","Y",0,0,0,0,0,0,0,17,17,1,0
"npz6.22",113.4512,-28.0687,20210512,09:16:00,"npz6.23","NPZ6","No-take",45,"Molly","Y",0,0,0,0,17,0,0,0,17,3,0
"npz6.20",113.4593,-28.0736,20210512,09:13:00,"npz6.21","NPZ6","No-take",50.4,"Molly","Y",0,5,0,1,1,0,1,2,10,1,0
"npz6.26",113.4563,-28.0937,20210512,08:43:00,"npz6.29","NPZ6","No-take",33.7,"Molly","Y",0,2,0,0,18,0,0,0,20,2.13333333333333,0.351865775274498
"npz6.27",113.4464,-28.0562,20210512,09:21:00,"npz6.30","NPZ6","No-take",39,"Molly","Y",0,0,0,0,15,0,0,0,15,3,0
"npz6.8",113.3413,-28.0688,20210512,11:45:00,"npz6.8","NPZ6","No-take",154,"Molly","Y",0,0,1,0,0,0,0,13,14,0,0
"npz6.15",113.3488,-28.0588,20210512,11:41:00,"npz6.15","NPZ6","No-take",145,"Molly","Y",0,0,1,0,0,0,0,15,16,0,0
"npz6.9",113.3814,-28.0386,20210512,11:28:00,"npz6.9","NPZ6","No-take",77.2,"Molly","Y",0,4,0,6,0,0,1,0,11,1,0
"npz6.13",113.3714,-28.0611,20210512,11:19:00,"npz6.13","NPZ6","No-take",109,"Molly","Y",1,1,0,6,0,1,0,1,10,2.81818181818182,0.404519917477945
"npz6.10",113.3764,-28.0787,20210512,11:07:00,"npz6.10","NPZ6","No-take",112,"Molly","Y",0,0,0,0,0,0,0,13,13,0,0
"npz6.17",113.3839,-28.0837,20210512,11:03:00,"npz6.18","NPZ6","No-take",94,"Molly","Y",1,0,0,9,0,1,5,0,16,2.57142857142857,0.646206172658864
"npz6.4",113.3988,-28.0814,20210512,10:57:00,"npz6.4","NPZ6","No-take",67.5,"Molly","Y",1,14,0,0,0,0,0,0,15,1,0
"npz6.21",113.3992,-28.0714,20210512,10:54:00,"npz6.22","NPZ6","No-take",59.3,"Molly","Y",2,0,0,9,0,2,3,2,18,2.2,0.414039335605413
"npz6.5",113.3935,-28.0636,20210512,10:50:00,"npz6.5","NPZ6","No-take",65.8,"Molly","Y",0,5,3,1,0,2,1,4,16,2.4,0.828078671210825
"npz6.12",113.2763,-28.0512,20210512,13:48:00,"npz6.12","NPZ6","No-take",185,"-","N",0,0,0,0,0,0,0,11,11,0,0
"npz6.C01",113.3706,-28.1078,20210512,14:39:00,NA,"NPZ6","Fished",138,"Molly","Y",0,0,0,0,0,0,0,11,11,0,0
"npz6.28",113.3663,-28.1237,20210512,14:45:00,"out6.1","NPZ6","Fished",149,"Molly","Y",0,0,0,0,0,0,0,17,17,0.3,0.674948557710553
